               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,             0.02044,            0.015867,           0.0073713,             0.81327,             0.77729,             0.84514,             0.49831,            0.022533,           0.0073504,           0.0027061,            0.004786,            0.004786,            0.004786
                  81,            0.021013,            0.016033,           0.0064422,             0.81662,             0.85774,             0.84683,             0.51137,            0.019579,           0.0069394,           0.0026431,             0.00472,             0.00472,             0.00472
                  82,            0.020813,            0.016018,           0.0068456,             0.78159,              0.8209,             0.85711,             0.50573,            0.019842,           0.0072558,           0.0023499,            0.004654,            0.004654,            0.004654
                  83,            0.020292,            0.015614,           0.0048408,             0.86004,             0.84308,             0.87341,             0.53793,            0.020789,            0.006943,           0.0019467,            0.004588,            0.004588,            0.004588
                  84,            0.021912,            0.016507,           0.0048083,             0.89332,             0.78766,             0.85626,              0.5305,            0.019303,           0.0071601,           0.0022993,            0.004522,            0.004522,            0.004522
                  85,            0.022741,            0.016181,           0.0060058,             0.85415,             0.76851,             0.83646,              0.5115,            0.020532,            0.007175,           0.0032306,            0.004456,            0.004456,            0.004456
                  86,            0.021594,            0.015716,           0.0065523,             0.86012,             0.81339,             0.87629,             0.52525,            0.020846,           0.0069968,           0.0026007,             0.00439,             0.00439,             0.00439
                  87,            0.021612,            0.015457,           0.0054067,             0.82214,             0.81932,             0.85894,             0.52734,            0.021204,           0.0071974,           0.0027792,            0.004324,            0.004324,            0.004324
                  88,            0.020953,            0.016176,           0.0061982,             0.83264,             0.83303,             0.85798,             0.52814,            0.021327,            0.007113,           0.0029988,            0.004258,            0.004258,            0.004258
                  89,            0.020378,            0.015997,           0.0058005,             0.85456,             0.77896,             0.84776,              0.5173,            0.021163,           0.0075766,           0.0033054,            0.004192,            0.004192,            0.004192
                  90,            0.021245,            0.015505,           0.0072284,             0.83401,             0.81202,             0.85874,             0.52765,            0.022614,           0.0074235,           0.0021517,            0.004126,            0.004126,            0.004126
                  91,            0.020937,            0.015911,           0.0053683,             0.82754,              0.8526,             0.87436,             0.53861,            0.022183,           0.0069103,           0.0018449,             0.00406,             0.00406,             0.00406
                  92,            0.018806,            0.015084,           0.0050772,             0.88589,              0.7817,             0.87894,              0.5327,            0.021429,           0.0069302,           0.0016814,            0.003994,            0.003994,            0.003994
                  93,            0.021198,            0.015271,           0.0050185,             0.86561,             0.81348,             0.87582,             0.52227,            0.021398,           0.0071409,           0.0016445,            0.003928,            0.003928,            0.003928
                  94,            0.021013,             0.01513,           0.0062674,             0.86231,              0.8517,             0.86024,             0.49669,            0.021732,           0.0073034,           0.0039642,            0.003862,            0.003862,            0.003862
                  95,            0.021489,            0.015728,           0.0051881,             0.83145,             0.80093,              0.8465,              0.5099,            0.021667,           0.0074494,            0.003169,            0.003796,            0.003796,            0.003796
                  96,            0.021169,            0.015717,            0.004351,              0.8098,             0.83225,             0.83718,             0.49371,            0.022367,           0.0075192,           0.0051425,             0.00373,             0.00373,             0.00373
                  97,            0.020253,            0.014855,           0.0049653,             0.83729,             0.86633,             0.86138,              0.5382,            0.021822,           0.0070924,           0.0034513,            0.003664,            0.003664,            0.003664
                  98,            0.021797,            0.015615,           0.0047534,             0.85834,             0.89729,             0.89735,             0.55875,            0.020457,           0.0068661,           0.0019241,            0.003598,            0.003598,            0.003598
                  99,            0.020894,            0.015608,           0.0052864,             0.82777,              0.8483,             0.88586,             0.54533,            0.019826,           0.0070144,           0.0032409,            0.003532,            0.003532,            0.003532
                 100,            0.020023,             0.01481,           0.0043516,             0.80599,             0.86978,              0.8489,             0.52251,            0.020548,           0.0073477,           0.0024357,            0.003466,            0.003466,            0.003466
                 101,            0.020171,            0.015472,           0.0043968,             0.85838,             0.81115,             0.88822,             0.56555,            0.020315,           0.0069832,            0.002605,              0.0034,              0.0034,              0.0034
                 102,            0.019941,            0.015145,           0.0051753,             0.88829,             0.84337,             0.91284,             0.57663,            0.020082,           0.0066531,            0.001817,            0.003334,            0.003334,            0.003334
                 103,            0.020172,            0.015096,           0.0050243,             0.84418,             0.87388,             0.88762,             0.55687,            0.020076,           0.0067259,           0.0018598,            0.003268,            0.003268,            0.003268
                 104,            0.018796,            0.015353,           0.0046301,             0.87309,             0.83042,             0.88304,             0.54694,              0.0213,           0.0066895,           0.0019415,            0.003202,            0.003202,            0.003202
                 105,            0.019802,            0.014432,           0.0043083,             0.81103,             0.85943,             0.88397,             0.55018,            0.020617,           0.0069462,           0.0028943,            0.003136,            0.003136,            0.003136
                 106,            0.018749,            0.014699,           0.0050196,             0.81748,             0.85404,             0.87197,             0.55413,            0.020775,           0.0071889,           0.0023131,             0.00307,             0.00307,             0.00307
                 107,            0.019685,            0.014769,           0.0058243,             0.88454,             0.81567,               0.872,             0.54626,            0.021367,           0.0070211,           0.0020253,            0.003004,            0.003004,            0.003004
                 108,            0.018984,            0.014881,           0.0037197,             0.85211,             0.83116,             0.86551,             0.54043,            0.021513,           0.0071489,           0.0019629,            0.002938,            0.002938,            0.002938
                 109,            0.019657,            0.015132,           0.0042734,             0.88462,              0.8473,             0.87746,             0.55759,            0.020684,           0.0069177,           0.0022412,            0.002872,            0.002872,            0.002872
                 110,             0.01931,            0.015377,           0.0051087,             0.86431,             0.83992,             0.86904,             0.55154,            0.020238,           0.0073034,           0.0021672,            0.002806,            0.002806,            0.002806
                 111,            0.019145,             0.01454,           0.0045572,             0.84069,             0.88575,             0.86712,             0.55426,            0.020422,           0.0071408,           0.0017854,             0.00274,             0.00274,             0.00274
                 112,            0.019113,            0.014462,           0.0044556,             0.83557,             0.84933,             0.87159,             0.56233,            0.020157,           0.0069721,           0.0021593,            0.002674,            0.002674,            0.002674
                 113,              0.0183,            0.014523,           0.0038808,             0.81881,             0.84804,              0.8621,              0.5439,            0.020326,           0.0069478,           0.0020809,            0.002608,            0.002608,            0.002608
                 114,             0.01749,            0.014006,           0.0044639,             0.80052,             0.81837,             0.86622,             0.56039,            0.019832,           0.0071305,           0.0017955,            0.002542,            0.002542,            0.002542
                 115,            0.019136,            0.014805,           0.0039858,             0.86061,              0.7546,             0.85814,             0.55623,            0.020017,           0.0072202,           0.0018545,            0.002476,            0.002476,            0.002476
                 116,            0.017961,            0.014099,           0.0044785,             0.85965,             0.78488,             0.84645,             0.53393,            0.021271,           0.0071175,           0.0015094,             0.00241,             0.00241,             0.00241
                 117,            0.019541,            0.014894,           0.0041126,             0.83576,             0.77439,             0.85851,             0.55858,            0.019622,           0.0071065,           0.0015684,            0.002344,            0.002344,            0.002344
                 118,            0.018798,            0.014024,           0.0043595,             0.84327,             0.77818,             0.85031,             0.53066,            0.020301,           0.0070235,           0.0016291,            0.002278,            0.002278,            0.002278
                 119,            0.017405,              0.0142,           0.0041785,             0.81281,             0.78413,             0.83744,             0.52138,            0.021129,           0.0071675,           0.0017624,            0.002212,            0.002212,            0.002212
                 120,             0.01876,            0.014529,            0.004512,             0.83848,             0.81752,             0.87177,             0.55322,            0.020983,           0.0072181,           0.0018133,            0.002146,            0.002146,            0.002146
                 121,            0.018414,             0.01448,           0.0035642,              0.8731,             0.80346,             0.88112,             0.56435,            0.021027,           0.0072678,           0.0017533,             0.00208,             0.00208,             0.00208
                 122,            0.017346,            0.014779,           0.0042497,             0.79631,             0.86915,              0.8775,             0.56871,            0.020258,           0.0071739,           0.0019765,            0.002014,            0.002014,            0.002014
                 123,            0.017555,              0.0143,           0.0030089,             0.83943,             0.80788,             0.86995,             0.56349,            0.021074,           0.0072767,           0.0013251,            0.001948,            0.001948,            0.001948
                 124,            0.018486,            0.013676,           0.0031098,             0.82733,             0.82621,             0.87176,             0.55613,            0.021247,           0.0073122,           0.0019037,            0.001882,            0.001882,            0.001882
                 125,            0.018379,             0.01433,           0.0042487,             0.87425,             0.81414,             0.87698,             0.56719,            0.020683,           0.0074748,           0.0016078,            0.001816,            0.001816,            0.001816
                 126,            0.018417,            0.014363,           0.0030575,             0.85875,             0.82306,             0.87526,             0.54732,             0.02111,            0.007556,           0.0014418,             0.00175,             0.00175,             0.00175
                 127,            0.019536,            0.014481,           0.0042767,             0.81901,             0.84026,             0.86987,             0.53978,            0.020988,           0.0075545,           0.0014966,            0.001684,            0.001684,            0.001684
                 128,            0.018991,             0.01454,           0.0044153,             0.90021,              0.8173,             0.88012,             0.56224,            0.020782,           0.0074247,           0.0018656,            0.001618,            0.001618,            0.001618
                 129,            0.017763,            0.013763,           0.0045207,             0.89927,             0.82716,             0.88491,             0.56561,            0.020919,           0.0072358,           0.0016121,            0.001552,            0.001552,            0.001552
                 130,            0.017209,            0.013977,           0.0038753,             0.88577,             0.86124,             0.88166,             0.57295,            0.020891,           0.0069958,           0.0018413,            0.001486,            0.001486,            0.001486
                 131,            0.017313,             0.01376,           0.0037942,              0.9027,             0.83269,             0.89697,             0.59411,            0.020696,           0.0069755,           0.0015753,             0.00142,             0.00142,             0.00142
                 132,            0.017495,            0.014059,            0.003431,             0.87157,             0.85236,             0.89313,             0.58616,            0.020436,           0.0068914,           0.0017425,            0.001354,            0.001354,            0.001354
